Bränsle,Växellåda,Miltal,Modellår,Biltyp,Pris
Bensin,Automat,17 000 - 17 499,2007,Kombi,60000
Bensin,Manuell,29 500 - 29 999,2007,Kombi,36500
Diesel,Automat,21 500 - 21 999,2007,Kombi,48000
Bensin,Manuell,18 000 - 18 499,2006,Kombi,26900
Bensin,Automat,24 000 - 24 999,2006,Kombi,35000
Bensin,Manuell,23 500 - 23 999,2006,Kombi,12000
Diesel,Automat,30 000 - 34 999,2007,Kombi,60000
Diesel,Manuell,26 000 - 26 499,2007,Kombi,27000
Bensin,Manuell,21 000 - 21 499,2006,Kombi,24900
Diesel,Automat,30 000 - 34 999,2007,Kombi,34800
Bensin,Manuell,21 000 - 21 499,2006,Kombi,39500
Diesel,Manuell,19 000 - 19 499,2007,Kombi,20000
Bensin,Manuell,30 000 - 34 999,2006,Kombi,22000
Diesel,Automat,35 000 - 39 999,2006,Kombi,48000
Bensin,Manuell,25 500 - 25 999,2007,Kombi,33000
Bensin,Manuell,19 500 - 19 999,2007,Kombi,28000
Bensin,Automat,24 000 - 24 499,2006,Kombi,85000
Bensin,Manuell,24 000 - 24 499,2007,Kombi,10000
Diesel,Manuell,25 000 - 25 499,2006,Kombi,75000
Bensin,Manuell,28 500 - 28 999,2006,Kombi,19900
Bensin,Manuell,28 500 - 28 999,2006,Kombi,23000
Bensin,Manuell,9 000 - 9 499,2006,Kombi,48500
Bensin,Manuell,26 000 - 26 499,2006,Kombi,64000
Bensin,Automat,26 500 - 26 999,2004,Kombi,32000
Bensin,Manuell,25 000 - 25 499,2004,Sedan,11900
Bensin,Automat,25 000 - 25 499,2004,Kombi,37000
Bensin,Manuell,19 000 - 19 499,2004,Kombi,39900
Bensin,Manuell,30 000 - 34 999,2004,Kombi,19900
Bensin,Manuell,17 500 - 17 999,2004,Kombi,34000
Bensin,Manuell,23 000 - 23 499,2004,Kombi,22000
Bensin,Manuell,30 000 - 34 999,2004,Sedan,18000
Bensin,Manuell,35 000 - 39 999,2004,Kombi,16000
Bensin,Automat,19 500 - 19 999,2004,Sedan,44000
Miljöbränsle/Hybrid,Manuell,11 000 - 11 499,2004,Sedan,210000
Bensin,Manuell,27 000 - 27 499,2004,Kombi,28000
Bensin,Manuell,27 500 - 27 999,2004,Sedan,16500
Bensin,Automat,18 000 - 18 499,2004,Kombi,39000
Diesel,Manuell,35 000 - 39 999,2004,Halvkombi,28000
Bensin,Manuell,15 500 - 15 999,2004,Halvkombi,20000
Bensin,Automat,24 500 - 24 999,2004,Kombi,79900
Bensin,Automat,13 500 - 13 999,2004,Sedan,47000
Bensin,Manuell,25 000 - 25 499,2004,Kombi,22000
Bensin,Automat,20 000 - 20 499,2004,Sedan,60000
Bensin,Manuell,25 000 - 25 499,2004,Kombi,59000
Bensin,Manuell,30 000 - 34 999,2004,Kombi,4900
Bensin,Automat,14 000 - 14 499,2004,Halvkombi,25000
Bensin,Manuell,35 000 - 39 999,2004,Sedan,21500
Bensin,Manuell,14 000 - 14 499,2004,Kombi,30000
Bensin,Automat,25 000 - 25 499,2004,Kombi,27000
Bensin,Manuell,30 000 - 34 999,2004,Kombi,17000
Bensin,Manuell,27 000 - 27 499,2004,Halvkombi,24000
Bensin,Automat,15 000 - 15 499,2004,Kombi,42000
Bensin,Manuell,28 500 - 28 999,2004,Kombi,35000
Bensin,Manuell,17 500 - 17 999,2004,Sedan,24500
Bensin,Manuell,25 000 - 25 499,2004,Sedan,5000
Bensin,Manuell,25 500 - 25 999,2004,Halvkombi,20900
Bensin,Automat,9 000 - 9 499,2004,Sedan,27000
Bensin,Manuell,17 500 - 17 999,2004,Kombi,17900
Bensin,Manuell,3 500 - 3 999,2004,Halvkombi,25000
Bensin,Automat,17 500 - 17 999,2004,Sedan,95000
Bensin,Automat,11 500 - 11 999,2004,Kombi,23000
Bensin,Automat,21 500 - 21 999,2004,Sedan,39900
Bensin,Manuell,14 000 - 14 499,2004,Halvkombi,30000
Diesel,Manuell,30 000 - 34 999,2004,Kombi,20000
Bensin,Manuell,19 000 - 19 499,2004,Halvkombi,15000
Bensin,Manuell,20 000 - 20 499,2004,Halvkombi,19000
Bensin,Manuell,13 500 - 13 999,2004,Halvkombi,17000
Bensin,Manuell,14 500 - 14 999,2004,Sedan,33900
Bensin,Manuell,27 500 - 27 999,2004,Kombi,27000
Bensin,Manuell,14 000 - 14 499,2004,Halvkombi,14999
Diesel,Automat,30 000 - 34 999,2004,Kombi,30000
Bensin,Manuell,23 500 - 23 999,2004,Kombi,31000
Diesel,Automat,26 000 - 26 499,2004,Kombi,31000
Bensin,Automat,25 500 - 25 999,2004,Sedan,24000
Miljöbränsle/Hybrid,Manuell,10 500 - 10 999,2004,Halvkombi,23000
Bensin,Automat,9 000 - 9 499,2004,Halvkombi,17900
Bensin,Manuell,26 000 - 26 499,2004,Sedan,19900
Bensin,Manuell,21 500 - 21 999,2004,Halvkombi,24900
Bensin,Automat,19 500 - 19 999,2004,Kombi,35000
Bensin,Manuell,19 500 - 19 999,2004,Sedan,36000
Bensin,Manuell,20 000 - 20 499,2004,Kombi,13000
Bensin,Manuell,20 000 - 20 499,2004,Sedan,15000
Bensin,Automat,30 000 - 34 999,2004,Kombi,32500
Bensin,Manuell,35 000 - 39 999,2004,Kombi,22000
Bensin,Manuell,26 500 - 26 999,2004,Kombi,13000
Bensin,Manuell,28 500 - 28 999,2004,Sedan,25000
Bensin,Manuell,14 500 - 14 999,2004,Kombi,14000
Bensin,Manuell,20 000 - 20 499,2004,Sedan,19000
Bensin,Automat,22 500 - 22 999,2004,Kombi,39500
Bensin,Manuell,26 000 - 26 499,2004,Sedan,25000
Bensin,Manuell,25 000 - 25 499,2004,Kombi,6000
Bensin,Manuell,35 000 - 39 999,2004,Kombi,21000
Bensin,Manuell,40 000 - 44 999,2004,Kombi,18500
Bensin,Manuell,21 000 - 21 499,2004,Sedan,59900
Bensin,Manuell,23 000 - 23 499,2004,Sedan,22000
Bensin,Manuell,25 500 - 25 999,2004,Kombi,50000
Bensin,Manuell,30 000 - 34 999,2004,Kombi,12000
Bensin,Automat,30 000 - 34 999,2004,Sedan,69000
Bensin,Manuell,25 000 - 25 499,2004,Sedan,24900
Bensin,Manuell,17 500 - 17 999,2004,Sedan,29900
Bensin,Manuell,30 000 - 34 999,2004,Sedan,17000
Bensin,Automat,23 000 - 23 499,2004,Halvkombi,20000
Bensin,Automat,24 000 - 24 499,2004,Sedan,7000
Bensin,Manuell,20 500 - 20 999,2005,Kombi,19000
Bensin,Manuell,17 000 - 17 499,2005,Halvkombi,18000
Bensin,Manuell,30 000 - 34 999,2005,Kombi,9500
Bensin,Automat,26 000 - 26 499,2005,Kombi,26000
Bensin,Manuell,18 000 - 18 499,2005,Kombi,16000
Bensin,Automat,Mer än 50 000,2005,Kombi,5500
Diesel,Manuell,35 000 - 39 999,2005,Kombi,16000
Bensin,Manuell,20 500 - 20 999,2005,Halvkombi,13000
Bensin,Manuell,29 000 - 29 499,2005,Kombi,5000
Bensin,Manuell,24 000 - 24 499,2005,Kombi,29000
Bensin,Automat,30 000 - 34 999,2005,Kombi,17000
Bensin,Manuell,18 000 - 18 499,2005,Halvkombi,25000
Bensin,Manuell,23 500 - 23 999,2005,Halvkombi,5000
Bensin,Manuell,17 000 - 17 499,2005,Halvkombi,25000
Bensin,Automat,24 000 - 24 499,2005,Kombi,28500
Bensin,Manuell,21 500 - 21 999,2005,Sedan,8500
Bensin,Manuell,22 500 - 22 999,2005,Kombi,21000
Bensin,Manuell,30 000 - 34 999,2005,Kombi,22500
Bensin,Manuell,23 000 - 23 499,2005,Sedan,18900
Bensin,Manuell,20 000 - 20 499,2005,Halvkombi,29800
Bensin,Manuell,18 000 - 18 499,2005,Halvkombi,19500
Bensin,Automat,29 500 - 29 999,2005,Sedan,19900
Bensin,Automat,24 000 - 24 499,2005,Sedan,100000
Bensin,Manuell,15 500 - 15 999,2005,Kombi,20000
Bensin,Automat,Mer än 50 000,2005,Kombi,13000
Bensin,Automat,23 000 - 23 499,2005,Halvkombi,30000
Bensin,Manuell,13 500 - 13 999,2005,Halvkombi,21000
Bensin,Manuell,40 000 - 44 999,2005,Kombi,20000
Bensin,Automat,29 500 - 29 999,2005,Kombi,25000
Miljöbränsle/Hybrid,Manuell,28 000 - 28 499,2005,Sedan,21999
Bensin,Manuell,25 500 - 25 999,2005,Kombi,25500
Bensin,Manuell,15 000 - 15 499,2005,Sedan,38500
Bensin,Manuell,14 500 - 14 999,2005,Kombi,5000
Bensin,Manuell,23 500 - 23 999,2005,Kombi,25000
Bensin,Manuell,23 500 - 23 999,2005,Halvkombi,27000
Bensin,Manuell,23 500 - 23 999,2005,Halvkombi,7500
Bensin,Manuell,10 000 - 10 499,2005,Kombi,30000
Bensin,Manuell,17 500 - 17 999,2005,Kombi,15900
Bensin,Manuell,14 500 - 14 999,2005,Halvkombi,27500
Bensin,Manuell,21 500 - 21 999,2005,Halvkombi,15500
Miljöbränsle/Hybrid,Automat,19 000 - 19 499,2005,Halvkombi,55000
Bensin,Manuell,23 000 - 23 499,2005,Sedan,26500
Bensin,Manuell,20 500 - 20 999,2005,Kombi,19999
Bensin,Manuell,20 000 - 20 499,2005,Kombi,18000
Bensin,Manuell,29 500 - 29 999,2005,Kombi,14900
Diesel,Automat,40 000 - 44 999,2005,Kombi,22000
Bensin,Manuell,29 000 - 29 499,2005,Sedan,22000
Bensin,Manuell,26 500 - 26 999,2005,Kombi,39500
Bensin,Manuell,10 000 - 10 499,2005,Halvkombi,21500
Bensin,Manuell,15 500 - 15 999,2005,Halvkombi,22000
Bensin,Automat,15 000 - 15 499,2005,Sedan,79000
Bensin,Manuell,22 000 - 22 499,2005,Kombi,9000
Bensin,Manuell,28 500 - 28 999,2005,Kombi,4000
Bensin,Manuell,25 000 - 25 499,2005,Halvkombi,22500
Bensin,Manuell,30 000 - 34 999,2005,Kombi,22000
Bensin,Manuell,4 000 - 4 499,2005,Sedan,69000
Bensin,Manuell,23 500 - 23 999,2005,Kombi,29000
Diesel,Manuell,30 000 - 34 999,2005,Kombi,19900
Bensin,Manuell,22 000 - 22 499,2005,Sedan,34000
