Bränsle,Växellåda,Miltal,Modellår,Biltyp,Pris
Diesel,Manuell,35 000 - 39 999,2000,Kombi,30000
Diesel,Manuell,40 000 - 44 999,2000,Kombi,40000
Diesel,Manuell,45 000 - 49 999,2000,Kombi,2000
Diesel,Manuell,40 000 - 44 999,2001,Halvkombi,24900
Bensin,Manuell,14 500 - 14 999,2000,Halvkombi,25000
Bensin,Manuell,15 500 - 15 999,2000,Halvkombi,15900
Bensin,Automat,22 000 - 22 499,2001,Kombi,10000
Bensin,Manuell,14 000 - 14 499,2000,Halvkombi,15000
Bensin,Manuell,14 000 - 14 499,2001,Halvkombi,14000
Bensin,Manuell,26 500 - 26 999,2001,Kombi,5500
Bensin,Manuell,21 000 - 21 499,2001,Halvkombi,9000
Bensin,Automat,30 000 - 34 999,2001,Kombi,10000
Bensin,Automat,30 000 - 34 999,2001,Kombi,30000
Bensin,Manuell,25 500 - 25 999,2001,Kombi,5000
Bensin,Automat,22 500 - 22 999,2001,Kombi,10000
Bensin,Manuell,23 500 - 23 999,2001,Halvkombi,8000
Bensin,Manuell,35 000 - 39 999,2001,Kombi,11900
Bensin,Manuell,22 000 - 22 499,2001,Kombi,5000
Bensin,Manuell,20 500 - 20 999,2000,Halvkombi,22000
Bensin,Manuell,40 000 - 44 999,2001,Kombi,7000
Bensin,Manuell,17 500 - 17 999,2000,Kombi,13000
Bensin,Manuell,27 500 - 27 999,2000,Kombi,14000
Bensin,Manuell,19 000 - 19 499,2001,Halvkombi,25000
Bensin,Manuell,11 500 - 11 999,2000,Halvkombi,10000
Bensin,Manuell,23 000 - 23 499,2000,Kombi,18500
Bensin,Automat,26 500 - 26 999,2001,Kombi,6000
Bensin,Manuell,16 000 - 16 499,2001,Halvkombi,12000
Bensin,Manuell,28 000 - 28 499,2001,Halvkombi,12000
Bensin,Automat,22 500 - 22 999,2001,Kombi,32000
Bensin,Manuell,35 000 - 39 999,2000,Kombi,9000
Bensin,Manuell,22 500 - 22 999,2001,Halvkombi,10000
Bensin,Manuell,15 000 - 15 499,2001,Halvkombi,13500
Bensin,Automat,22 000 - 22 499,2000,Kombi,21000
Bensin,Manuell,9 000 - 9 499,2000,Halvkombi,27700
Bensin,Automat,22 500 - 22 999,2001,Kombi,30000
Bensin,Manuell,16 000 - 16 499,2000,Kombi,19000
Bensin,Automat,23 500 - 23 999,2000,Kombi,8000
Bensin,Manuell,23 500 - 23 999,2000,Kombi,18500
Bensin,Manuell,23 000 - 23 499,2000,Kombi,13000
Bensin,Manuell,30 000 - 34 999,2001,Kombi,7000
Bensin,Manuell,15 500 - 15 999,2001,Halvkombi,24500
Bensin,Manuell,20 500 - 20 999,2001,Halvkombi,7500
Bensin,Manuell,25 500 - 25 999,2000,Kombi,13900
Bensin,Manuell,40 000 - 44 999,2001,Kombi,12000
Bensin,Manuell,15 500 - 15 999,2000,Halvkombi,20000
Bensin,Manuell,29 500 - 29 999,2001,Kombi,28000
Bensin,Manuell,40 000 - 44 999,2000,Kombi,10000
Bensin,Manuell,17 000 - 17 499,2000,Halvkombi,20000
Bensin,Manuell,30 000 - 34 999,2001,Kombi,12000
Bensin,Automat,26 000 - 26 499,2001,Kombi,9500
Bensin,Automat,35 000 - 39 999,2001,Kombi,6500
Bensin,Manuell,17 000 - 17 499,2000,Halvkombi,22900
Bensin,Automat,30 000 - 34 999,2001,Kombi,22000
Bensin,Manuell,21 000 - 21 499,2000,Halvkombi,18000
Bensin,Manuell,40 000 - 44 999,2000,Kombi,9000
Bensin,Manuell,24 500 - 24 999,2001,Halvkombi,29000
Diesel,Manuell,17 500 - 17 999,2011,Sedan,105000
Diesel,Automat,20 000 - 20 499,2011,Kombi,79000
Diesel,Manuell,19 500 - 19 999,2011,Halvkombi,64900
Diesel,Manuell,19 500 - 19 999,2010,Kombi,65000
Bensin,Manuell,29 000 - 29 499,2010,Kombi,10500
Diesel,Automat,20 000 - 20 499,2010,Sedan,115000
Bensin,Manuell,11 500 - 11 999,2010,Halvkombi,39000
Diesel,Automat,27 000 - 27 499 ,2010,Kombi,79900
Bensin,Automat,17 000 - 17 499,2011,Halvkombi,115500
Bensin,Manuell,14 000 - 14 499,2011,Halvkombi,85000
Diesel,Automat,17 500 - 17 999,2011,Kombi,105000
Bensin,Manuell,19 000 - 19 499,2011,Sedan,118000
Diesel,Manuell,27 000 - 27 499 ,2011,Kombi,25000
Diesel,Manuell,19 000 - 19 499,2011,Kombi,99000
Bensin,Manuell,16 000 - 16 499,2010,Kombi,31500
Diesel,Automat,30 000 - 34 999,2011,Kombi,109000
Diesel,Manuell,30 000 - 34 999,2011,Kombi,55000
Diesel,Automat,30 000 - 34 999,2010,Kombi,55000
Bensin,Manuell,14 000 - 14 499,2010,Kombi,45000
Diesel,Manuell,27 500 - 27 999,2010,Kombi,61000
Diesel,Automat,22 000 - 22 499,2010,Kombi,27500
Bensin,Manuell,18 500 - 18 999,2010,Kombi,69000
Diesel,Manuell,21 000 - 21 499,2011,Halvkombi,54900
Diesel,Manuell,22 000 - 22 499,2011,Kombi,39500
Diesel,Manuell,17 000 - 17 499,2011,Kombi,85000
Bensin,Manuell,13 000 - 13 499,2010,Kombi,52000
Bensin,Automat,16 500 - 16 999,2010,Sedan,130000
Bensin,Manuell,4 000 - 4 499,2010,Halvkombi,65000
Diesel,Manuell,26 000 - 26 499,2010,Kombi,55000
Diesel,Manuell,12 000 - 12 499,2011,Halvkombi,45000
Diesel,Manuell,14 500 - 14 999,2011,Halvkombi,59000
Bensin,Manuell,14 000 - 14 499,2010,Halvkombi,82000
Diesel,Manuell,11 500 - 11 999,2011,Halvkombi,99000
Diesel,Manuell,25 000 - 25 499,2011,Kombi,75000
Diesel,Manuell,25 000 - 25 499,2011,Kombi,10000
Diesel,Automat,29 500 - 29 999,2011,Kombi,61500
Diesel,Automat,24 500 - 24 999,2011,Kombi,89900
Diesel,Manuell,20 000 - 20 499,2010,Kombi,30900
Diesel,Manuell,20 000 - 20 499,2011,Kombi,95000
Bensin,Manuell,18 000 - 18 499,2011,Halvkombi,55000
Diesel,Manuell,13 500 - 13 999,2010,Halvkombi,33000
Diesel,Manuell,27 000 - 27 499,2011,Kombi,65000
Diesel,Manuell,24 500 - 24 999,2011,Kombi,34500
Bensin,Manuell,8 000 - 8 499,2011,Halvkombi,47900
Diesel,Automat,16 500 - 16 999,2010,Halvkombi,115000
Diesel,Manuell,17 500 - 17 999 ,2011,Sedan,114000
Diesel,Manuell,24 000 - 24 499,2011,Kombi,45000
Diesel,Automat,19 500 - 19 999,2011,Halvkombi,175000
Diesel,Manuell,10 000 - 10 499,2011,Halvkombi,69000
Bensin,Automat,30 000 - 34 999,2011,Kombi,49000
Diesel,Automat,21 500 - 21 999,2011,Kombi,65000
Diesel,Automat,19 000 - 19 499,2011,Kombi,57000
Diesel,Manuell,35 000 - 39 999,2010,Kombi,19500
Diesel,Manuell,19 000 - 19 499,2011,Halvkombi,40000
Diesel,Automat,20 500 - 20 999,2010,Kombi,72500
Diesel,Automat,26 000 - 26 499,2010,Kombi,28000
Diesel,Manuell,16 000 - 16 499,2011,Kombi,73000
Bensin,Automat,13 000 - 13 499,2011,Kombi,109900
Diesel,Automat,29 500 - 29 999,2011,Kombi,59500
Diesel,Manuell,30 000 - 34 999,2010,Kombi,27000
Diesel,Manuell,16 500 - 16 999,2011,Sedan,100000
Bensin,Manuell,18 500 - 18 999,2010,Halvkombi,37800
Diesel,Automat,12 000 - 12 499,2011,Kombi,130000
Diesel,Automat,12 500 - 12 999,2011,Sedan,259000
Bensin,Manuell,17 500 - 17 999,2011,Kombi,160000
Diesel,Automat,28 000 - 28 499,2011,Sedan,59900
Bensin,Manuell,17 500 - 17 999,2010,Halvkombi,158000
Bensin,Automat,22 500 - 22 999,2011,Halvkombi,89000
Bensin,Automat,12 000 - 12 499,2010,Halvkombi,85000
Diesel,Manuell,28 000 - 28 499,2010,Sedan,28000
Diesel,Automat,13 000 - 13 499,2011,Kombi,107000
Bensin,Manuell,9 000 - 9 499,2010,Halvkombi,51000
Bensin,Manuell,8 500 - 8 999,2010,Halvkombi,90000
Diesel,Automat,19 000 - 19 499,2010,Kombi,54500
Diesel,Manuell,19 500 - 19 999,2011,Halvkombi,34500
Diesel,Manuell,18 000 - 18 499,2010,Halvkombi,45900
Diesel,Automat,27 000 - 27 499,2010,Halvkombi,46000
Diesel,Automat,27 500 - 27 999,2011,Kombi,85000
Diesel,Automat,29 000 - 29 499,2010,Kombi,55000
Diesel,Manuell,17 000 - 17 499,2010,Halvkombi,57800
Diesel,Automat,35 000 - 39 999,2011,Kombi,74000
Diesel,Manuell,27 500 - 27 999,2011,Halvkombi,50000
Diesel,Manuell,17 000 - 17 499,2011,Halvkombi,44000
Bensin,Manuell,9 500 - 9 999,2011,Kombi,90000
Bensin,Manuell,20 000 - 20 499,2011,Kombi,70000
Diesel,Automat,21 500 - 21 999,2010,Sedan,75500
Bensin,Manuell,13 000 - 13 499,2010,Halvkombi,35500
Diesel,Manuell,17 000 - 17 499,2010,Kombi,37000
Diesel,Automat,24 500 - 24 999,2011,Kombi,132000
Diesel,Manuell,24 500 - 24 999,2011,Kombi,69000
Bensin,Automat,16 000 - 16 499,2010,Kombi,110000
Diesel,Manuell,18 500 - 18 999,2010,Kombi,95000
Diesel,Manuell,12 000 - 12 499,2011,Kombi,58900
Bensin,Automat,14 000 - 14 499,2010,Kombi,110000
Diesel,Automat,17 000 - 17 499,2011,Kombi,130000
Bensin,Manuell,28 000 - 28 499,2010,Kombi,25500
Bensin,Manuell,8 000 - 8 499,2011,Halvkombi,54000
Diesel,Automat,19 500 - 19 999 ,2010,Kombi,55000
Diesel,Automat,19 000 - 19 499,2011,Kombi,117000
Diesel,Automat,21 000 - 21 499,2011,Kombi,70000
Diesel,Manuell,13 500 - 13 999,2010,Halvkombi,65000
Diesel,Manuell, 8 500 - 8 999 ,2011,Halvkombi,72000
Bensin,Manuell,15 500 - 15 999 ,2011,Halvkombi,69000
Diesel,Automat,22 000 - 22 499,2010,Halvkombi,44900
Bensin,Automat,19 500 - 19 999,2009,Sedan,130000
Bensin,Automat,23 500 - 23 999,2008,Sedan,69000
Bensin,Automat,16 500 - 16 999,2009,Sedan,60000
Bensin,Manuell,20 500 - 20 999,2009,Sedan,38500
Bensin,Manuell,23 500 - 23 999,2008,Sedan,64000
Bensin,Automat,25 000 - 25 499,2009,Sedan,127000
Bensin,Automat,9 500 - 9 999,2009,Sedan,369000
Bensin,Automat,8 000 - 8 499,2009,Sedan,117000
Bensin,Manuell,23 500 - 23 999,2008,Sedan,46000
Bensin,Manuell,12 500 - 12 999,2008,Sedan,45000
Bensin,Automat,18 000 - 18 499,2009,Sedan,159500
Bensin,Automat,28 000 - 28 499,2008,Sedan,51500
Bensin,Manuell,22 000 - 22 499,2009,Sedan,52000
Bensin,Automat,28 500 - 28 999,2008,Sedan,37000
Bensin,Automat,12 000 - 12 499,2009,Sedan,73000
Bensin,Manuell,11 500 - 11 999,2008,Sedan,92900
Bensin,Manuell,10 500 - 10 999,2008,Sedan,75000
Bensin,Automat,13 000 - 13 499,2008,Sedan,149900
Bensin,Manuell,26 000 - 26 499,2008,Sedan,50000
Bensin,Manuell,19 500 - 19 999,2009,Sedan,85000
Bensin,Manuell,27 000 - 27 499,2008,Kombi,35000
Bensin,Manuell,25 000 - 25 499,2008,Kombi,24900
Bensin,Manuell,24 500 - 24 999,2008,Kombi,27000
Bensin,Manuell,18 500 - 18 999,2008,Kombi,55000
Bensin,Manuell,26 000 - 26 499,2009,Kombi,28500
Bensin,Manuell,18 000 - 18 499,2008,Kombi,32000
Bensin,Manuell,19 500 - 19 999,2008,Kombi,38900
Bensin,Automat,35 000 - 39 999,2008,Kombi,42000
Bensin,Automat,26 500 - 26 999,2008,Kombi,49900
Bensin,Manuell,27 500 - 27 999,2009,Kombi,50000
Bensin,Manuell,26 000 - 26 499,2008,Kombi,36000
Bensin,Automat,30 000 - 34 999,2008,Kombi,35000
Bensin,Automat,27 000 - 27 499,2008,Kombi,118000
Bensin,Manuell,13 500 - 13 999,2009,Kombi,55000
Bensin,Manuell,18 000 - 18 499,2009,Kombi,58000
Bensin,Automat,24 500 - 24 999,2008,Kombi,62800
Bensin,Manuell,10 000 - 10 499,2008,Halvkombi,39900
Bensin,Manuell,23 000 - 23 499,2008,Halvkombi,12000
Bensin,Manuell,21 000 - 21 499,2008,Halvkombi,22000
Bensin,Manuell,15 000 - 15 499,2009,Halvkombi,59000
Bensin,Manuell,15 500 - 15 999,2008,Halvkombi,45000
Bensin,Automat,8 000 - 8 499,2009,Halvkombi,68000
Bensin,Automat,17 500 - 17 999,2008,Halvkombi,49000
Bensin,Manuell,12 500 - 12 999,2009,Halvkombi,48000
Bensin,Manuell,17 500 - 17 999,2008,Halvkombi,25000
Bensin,Manuell,19 500 - 19 999,2008,Halvkombi,25000
Bensin,Manuell,20 000 - 20 499,2009,Halvkombi,39500
Bensin,Manuell,6 500 - 6 999,2008,Halvkombi,60000
Bensin,Manuell,21 000 - 21 499,2009,Halvkombi,38900
Bensin,Manuell,7 000 - 7 499,2008,Halvkombi,26000
Diesel,Automat,19 000 - 19 499,2008,Sedan,27900
Diesel,Automat,24 500 - 24 999,2008,Sedan,61500
Diesel,Automat,12 500 - 12 999,2008,Sedan,47000
Diesel,Automat,22 000 - 22 499,2008,Sedan,79500
Diesel,Automat,23 000 - 23 499,2008,Sedan,79999
Diesel,Manuell,19 000 - 19 499,2008,Sedan,18900
Diesel,Manuell,24 500 - 24 999,2008,Sedan,55000
Diesel,Manuell,15 500 - 15 999,2008,Sedan,30000
Diesel,Manuell,17 000 - 17 499,2008,Sedan,25000
Diesel,Manuell,15 000 - 15 499,2008,Sedan,39900
Diesel,Automat,28 000 - 28 499,2009,Sedan,74900
Diesel,Automat,10 500 - 10 999,2009,Sedan,100000
Diesel,Automat,17 500 - 17 999,2009,Sedan,69000
Diesel,Automat,24 000 - 24 499,2009,Sedan,50000
Diesel,Automat,20 500 - 20 999,2009,Sedan,60000
Diesel,Manuell,27 000 - 27 499,2009,Sedan,110000
Diesel,Manuell,24 500 - 24 999,2009,Sedan,26000
Diesel,Manuell,30 000 - 34 999,2009,Sedan,30000
Diesel,Manuell,16 000 - 16 499,2009,Sedan,92500
Diesel,Manuell,18 000 - 18 499,2009,Sedan,40000
Diesel,Automat,28 500 - 28 999,2008,Kombi,75000
Diesel,Automat,30 000 - 34 999,2008,Kombi,78000
Diesel,Automat,26 500 - 26 999,2008,Kombi,70000
Diesel,Automat,20 000 - 20 499,2008,Kombi,119000
Diesel,Manuell,22 000 - 22 499,2008,Kombi,38000
Diesel,Manuell,35 000 - 39 999,2008,Kombi,14000
Diesel,Manuell,22 000 - 22 499,2008,Kombi,39000
Diesel,Manuell,22 000 - 22 499,2008,Kombi,30000
Diesel,Automat,45 000 - 49 999,2009,Kombi,54000
Diesel,Automat,30 000 - 34 999,2009,Kombi,60000
Diesel,Automat,22 500 - 22 999,2009,Kombi,80000
Diesel,Automat,27 500 - 27 999,2009,Kombi,53000
Diesel,Manuell,17 500 - 17 999,2009,Kombi,45000
Diesel,Manuell,28 000 - 28 499,2009,Kombi,40000
Diesel,Manuell,18 000 - 18 499,2009,Kombi,49000
Diesel,Manuell,19 000 - 19 499,2009,Kombi,99500
Diesel,Automat,15 000 - 15 499,2008,Halvkombi,54900
Diesel,Automat,28 500 - 28 999,2008,Halvkombi,54999
Diesel,Automat,16 500 - 17 000,2008,Halvkombi,69000
Diesel,Manuell,27 000 - 27 499,2008,Halvkombi,44900
Diesel,Manuell,22 500 - 22 999,2008,Halvkombi,29900
Diesel,Manuell,24 500 - 24 999,2008,Halvkombi,42000
Diesel,Manuell,14 500 - 14 999,2008,Halvkombi,29900
Diesel,Automat,13 000 - 13 499,2009,Halvkombi,54500
Diesel,Automat,29 500 - 30 000,2009,Halvkombi,49999
Diesel,Automat,14 000 - 14 500,2009,Halvkombi,94900
Diesel,Manuell,22 500 - 22 999,2009,Halvkombi,29000
Diesel,Manuell,22 000 - 22 499,2009,Halvkombi,37000
Diesel,Manuell,27 000 - 27 499,2009,Halvkombi,27500
Diesel,Manuell,18 000 - 18 499,2009,Halvkombi,34000
